@relation 'clean_data-weka.filters.unsupervised.attribute.Remove-R1-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0-weka.filters.unsupervised.attribute.NumericToNominal-Rlast-weka.filters.unsupervised.attribute.Remove-V-R2-3,5-6,8,11-12'

@attribute 'volatile acidity' numeric
@attribute 'citric acid' numeric
@attribute chlorides numeric
@attribute 'free sulfur dioxide' numeric
@attribute density numeric
@attribute alcohol numeric
@attribute quality {3,4,5,6,7,8,9}

@data
0.45614,0.891892,0.445783,0.218182,0.837083,0.129032,6
0.298246,0.5,0.614458,0.454545,0.806051,0.177419,5
0.070175,0.432432,0.542169,0.563636,0.705198,0.225806,5
0.22807,0.324324,0.493976,0.481818,0.767261,0.225806,5
0.394737,0.540541,0.60241,0.381818,1,0.16129,5
0.298246,0.5,0.614458,0.454545,0.806051,0.177419,5
0.087719,0.432432,0.506024,0.290909,0.798293,0.193548,6
0.070175,0.432432,0.542169,0.563636,0.705198,0.225806,5
0.263158,0.472973,0.373494,0.527273,0.92242,0.177419,6
0.263158,0.472973,0.373494,0.527273,0.92242,0.177419,6
0.438596,0.378378,0.506024,0.318182,0.43367,0.370968,5
0.157895,0.72973,0.879518,0.563636,0.681924,0.129032,6
0.333333,0.621622,0.518072,0.390909,1,0.145161,5
0.403509,0.675676,0.566265,0.6,0.860357,0.193548,5
0.578947,0.459459,0.481928,0.245455,0.751746,0.177419,5
0.578947,0.459459,0.481928,0.245455,0.751746,0.177419,5
0.710526,0,0.674699,0.054545,0.534523,0.274194,4
0.403509,0.324324,0.385542,0.209091,0.332816,0.532258,6
0.105263,0.540541,0.313253,0.127273,0.309542,0.612903,6
0.403509,0.675676,0.566265,0.6,0.860357,0.193548,5
0.421053,0.648649,0.614458,0.5,0.860357,0.193548,5
0.491228,0.054054,0.445783,0.172727,0.487975,0.354839,5
0.280702,0.432432,0.542169,0.363636,0.875873,0.129032,5
0.140351,0.418919,0.60241,0.263636,0.627618,0.274194,5
0.192982,0.378378,0.590361,0.109091,0.627618,0.177419,6
0.087719,0.635135,1,0.345455,0.441427,0.290323,6
0.192982,0.486486,0.204819,0.554545,0.3173,0.483871,6
0.54386,0.310811,0.289157,0.245455,0.534523,0.403226,5
0.280702,0.432432,0.349398,0.418182,0.674166,0.274194,7
0.385965,0.756757,0.421687,0.409091,0.410396,0.467742,7
0.385965,0.756757,0.445783,0.4,0.410396,0.467742,6
0.315789,0.337838,0.13253,0.045455,0.534523,0.419355,5
0.280702,0.432432,0.349398,0.418182,0.674166,0.274194,7
0.605263,0.540541,0.349398,0.518182,0.837083,0.16129,5
0.280702,0.364865,0.313253,0.4,0.860357,0.193548,5
0.333333,0.297297,0.301205,0.481818,0.69744,0.145161,5
0.333333,0.418919,0.325301,0.381818,0.837083,0.258065,5
0.263158,0.540541,0.216867,0.309091,0.379364,0.435484,6
0.508772,0.905405,0.433735,0.427273,0.806051,0.112903,5
0.192982,0.486486,0.313253,0.254545,0.35609,0.451613,7
0.350877,0.527027,0.240964,0.145455,0.402638,0.612903,6
0.403509,0.459459,0.433735,0.163636,0.43367,0.354839,5
0.508772,0.905405,0.433735,0.427273,0.806051,0.112903,5
0.22807,0.540541,0.361446,0.327273,0.379364,0.451613,6
0.22807,0.554054,0.325301,0.2,0.588829,0.274194,6
0.210526,0.540541,0.337349,0.154545,0.387122,0.516129,6
0.307018,0.5,0.373494,0.318182,0.262995,0.467742,6
0.140351,0.364865,0.421687,0.463636,0.363848,0.33871,6
0.903509,0.189189,0.590361,0.118182,0.61986,0.16129,4
0.45614,0.445946,0.301205,0.154545,0.35609,0.645161,7
0.298246,0.405405,0.542169,0.190909,0.534523,0.225806,6
0.245614,0.513514,0.409639,0.4,0.487975,0.564516,7
0.175439,0.621622,0.554217,0.509091,0.751746,0.306452,6
0.298246,0.405405,0.542169,0.190909,0.534523,0.225806,6
0.175439,0.554054,0.46988,0.354545,0.371606,0.387097,5
0.263158,0.540541,0.481928,0.090909,0.73623,0.274194,6
0.280702,0.567568,0.686747,0.418182,0.837083,0.145161,6
0.280702,0.567568,0.686747,0.418182,0.837083,0.145161,6
0.421053,0.324324,0.325301,0.327273,0.208689,0.709677,7
0.631579,0.054054,0.325301,0.372727,0.177657,0.66129,8
0.631579,0.054054,0.325301,0.372727,0.177657,0.66129,8
0.421053,0.324324,0.325301,0.327273,0.208689,0.709677,7
0.245614,0.756757,0.554217,0.227273,0.844841,0.177419,5
0.491228,0.405405,0.481928,0.109091,0.472459,0.419355,5
0.280702,0.567568,0.686747,0.418182,0.837083,0.145161,6
0.280702,0.472973,0.493976,0.563636,0.767261,0.241935,5
0.263158,0.486486,0.506024,0.636364,0.782777,0.290323,5
0.333333,0.621622,0.46988,0.336364,0.798293,0.258065,6
0.666667,0.243243,0.301205,0.209091,0.193173,0.741935,7
0.368421,0.418919,0.554217,0.163636,0.751746,0.209677,5
0.596491,0.648649,0.301205,0.027273,0.674166,0.322581,5
0.385965,0.621622,0.686747,0.245455,0.270753,0.758065,6
0.192982,0.608108,0.433735,0.136364,0.35609,0.483871,6
0.701754,0.5,0.337349,0.018182,0.239721,0.548387,4
0.245614,0.581081,0.349398,0.263636,0.363848,0.564516,7
0.333333,0.418919,0.506024,0.281818,0.92242,0.354839,5
0.263158,0.540541,0.373494,0.436364,0.43367,0.548387,6
0.421053,0.635135,0.421687,0.154545,0.301784,0.741935,4
0.263158,0.405405,0.542169,0.5,0.782777,0.225806,5
0.298246,0.432432,0.481928,0.354545,0.612102,0.193548,6
0.438596,0.418919,0.46988,0.363636,0.61986,0.209677,6
0.45614,0.202703,0.53012,0.536364,0.503491,0.193548,5
0.350877,0.540541,0.46988,0.418182,1,0.112903,5
0.333333,0.540541,0.493976,0.563636,0.837083,0.258065,6
0.315789,0.756757,0.409639,0.563636,0.767261,0.209677,5
0.368421,0.756757,0.409639,0.581818,0.782777,0.209677,5
0.280702,0.554054,0.373494,0.427273,0.643134,0.306452,6
0.385965,0.310811,0.349398,0.363636,0.410396,0.483871,5
0.789474,0.472973,0.301205,0.218182,0.270753,0.758065,8
0.350877,0.378378,0.457831,0.472727,0.705198,0.145161,4
0.350877,0.378378,0.518072,0.481818,0.705198,0.145161,6
0.350877,0.540541,0.46988,0.418182,1,0.112903,5
0.350877,0.486486,0.433735,0.236364,0.441427,0.548387,6
0.122807,0.459459,0.554217,0.290909,0.550039,0.258065,5
0.315789,0.324324,0.518072,0.472727,0.69744,0.145161,5
0.421053,0.324324,0.493976,0.454545,0.844841,0.129032,5
0.315789,0.324324,0.518072,0.472727,0.69744,0.145161,5
0.333333,0.351351,0.481928,0.481818,0.875873,0.209677,5
0.421053,0.324324,0.493976,0.454545,0.844841,0.129032,5
0.807018,0.432432,0.493976,0.463636,0.790535,0.258065,5
0.315789,0.459459,0.301205,0.336364,0.604344,0.645161,6
0.350877,0.472973,0.53012,0.309091,0.410396,0.354839,4
0.22807,0.675676,0.39759,0.390909,0.782777,0.129032,5
0.140351,0.432432,0.433735,0.327273,0.674166,0.193548,5
0.859649,0.391892,0.373494,0.118182,0.519007,0.354839,5
0.561404,0.418919,0.46988,0.190909,0.456943,0.241935,6
0.289474,0.337838,0.277108,0.090909,0.534523,0.403226,5
0.175439,0.513514,0.349398,0.3,0.363848,0.516129,7
0.140351,0.432432,0.433735,0.327273,0.674166,0.193548,5
0.087719,0.391892,0.506024,0.263636,0.565555,0.274194,6
0.298246,0.337838,0.253012,0.3,0.3173,0.5,7
0.315789,0.324324,0.421687,0.481818,0.69744,0.225806,5
0.333333,0.486486,0.325301,0.390909,0.526765,0.483871,5
0.315789,0.324324,0.421687,0.481818,0.69744,0.225806,5
0.350877,0.324324,0.421687,0.527273,0.914663,0.225806,5
0.263158,0.486486,0.325301,0.372727,0.519007,0.483871,5
0.333333,0.486486,0.325301,0.390909,0.526765,0.483871,5
0.298246,0.337838,0.253012,0.3,0.3173,0.5,7
0.192982,0.405405,0.409639,0.281818,0.503491,0.177419,6
0.72807,0.297297,0.445783,0.263636,0.449185,0.387097,6
0.280702,0.554054,0.445783,0.336364,0.984484,0.112903,5
0.157895,0.432432,0.46988,0.354545,0.519007,0.274194,6
0.298246,0.432432,0.385542,0.581818,0.759503,0.177419,6
0.157895,0.432432,0.46988,0.354545,0.519007,0.274194,6
0.280702,0.554054,0.445783,0.336364,0.984484,0.112903,5
0.982456,0.108108,0.638554,0.218182,0.782777,0.145161,4
0.350877,0.540541,0.385542,0.327273,0.813809,0.258065,6
0.333333,0.527027,0.361446,0.427273,0.813809,0.241935,6
0.263158,0.513514,0.590361,0.481818,0.837083,0.16129,6
0.263158,0.513514,0.590361,0.481818,0.837083,0.16129,6
0.263158,0.513514,0.590361,0.481818,0.837083,0.16129,6
0.263158,0.513514,0.590361,0.481818,0.837083,0.16129,6
0.77193,0.432432,0.421687,0.472727,0.782777,0.258065,6
0.315789,0.797297,0.337349,0.345455,0.363848,0.5,7
0.298246,0.283784,0.361446,0.236364,0.860357,0.258065,6
0.421053,0.310811,0.493976,0.427273,0.883631,0.112903,5
0.403509,0.351351,0.26506,0.190909,0.565555,0.387097,5
0.22807,0.5,0.204819,0.190909,0.247479,0.548387,7
0.280702,0.459459,0.457831,0.568182,0.487975,0.274194,6
0.561404,0.756757,0.409639,0.345455,0.806051,0.112903,5
0.175439,0.486486,0.349398,0.163636,0.402638,0.532258,6
0.22807,0.364865,0.253012,0.218182,0.224205,0.741935,7
0.210526,0.364865,0.26506,0.090909,0.262995,0.467742,7
0.192982,0.351351,0.253012,0.090909,0.262995,0.467742,7
0.578947,0.189189,0.337349,0.145455,0.689682,0.322581,5
0.22807,0.378378,0.53012,0.345455,0.720714,0.322581,4
0.315789,0.283784,0.783133,0.354545,0.844841,0.290323,3
0.561404,0.756757,0.409639,0.345455,0.806051,0.112903,5
0.280702,0.594595,0.240964,0.027273,0.325058,0.596774,3
0.280702,0.527027,0.542169,0.318182,0.472459,0.209677,6
0.315789,0.527027,0.373494,0.390909,0.495733,0.258065,8
0.473684,0.405405,0.313253,0.054545,0.43367,0.483871,7
0.473684,0.405405,0.313253,0.054545,0.43367,0.483871,7
0.263158,0.527027,0.277108,0.190909,0.3173,0.612903,6
0.491228,0.513514,0.337349,0.009091,0.255237,0.548387,4
0.061404,0.472973,0.46988,0.309091,0.526765,0.354839,6
0.368421,0.540541,0.409639,0.309091,0.968968,0.145161,5
0.350877,0.540541,0.325301,0.118182,0.565555,0.354839,5
0.368421,0.540541,0.433735,0.581818,0.821567,0.258065,6
0.280702,0.472973,0.349398,0.181818,0.3173,0.419355,6
0.368421,0.540541,0.409639,0.309091,0.968968,0.145161,5
0.421053,0.351351,0.53012,0.272727,0.728472,0.193548,6
0.877193,0.094595,0.409639,0.290909,0.565555,0.274194,5
0.885965,0.094595,0.421687,0.290909,0.573313,0.274194,6
0.894737,0.094595,0.433735,0.309091,0.565555,0.274194,6
0.421053,0.351351,0.53012,0.272727,0.728472,0.193548,6
0.912281,0.094595,0.421687,0.281818,0.565555,0.274194,5
0.298246,0.351351,0.506024,0.381818,0.782777,0.209677,5
0.877193,0.405405,0.578313,0.254545,0.604344,0.16129,5
0.368421,0.72973,0.445783,0.518182,0.73623,0.241935,5
0.192982,0.554054,0.445783,0.445455,0.643134,0.290323,6
0.210526,0.554054,0.421687,0.436364,0.643134,0.290323,6
0.315789,0.540541,0.39759,0.063636,0.340574,0.419355,5
0.421053,0.459459,0.421687,0.109091,0.371606,0.419355,4
0.385965,0.662162,0.325301,0.136364,0.348332,0.709677,7
0.280702,0.486486,0.301205,0.181818,0.224205,0.741935,8
0.403509,0.783784,0.361446,0.309091,0.294026,0.693548,8
0.631579,0.5,0.457831,0.4,0.519007,0.403226,4
0.45614,0.405405,0.542169,0.445455,0.860357,0.209677,5
0.473684,0.324324,0.554217,0.4,0.906905,0.129032,5
0.421053,0.337838,0.566265,0.409091,0.69744,0.129032,5
0.350877,0.445946,0.53012,0.445455,0.829325,0.274194,6
0.263158,0.527027,0.590361,0.427273,0.837083,0.16129,7
0.263158,0.527027,0.590361,0.427273,0.837083,0.16129,7
0.263158,0.527027,0.590361,0.427273,0.837083,0.16129,7
0.263158,0.527027,0.590361,0.427273,0.837083,0.16129,7
0.122807,0.418919,0.385542,0.463636,0.573313,0.403226,6
0.350877,0.567568,0.686747,0.463636,1,0.177419,5
0.350877,0.297297,0.385542,0.218182,0.666408,0.290323,7
0.894737,0.513514,0.686747,0.290909,0.751746,0.080645,3
0.438596,0.364865,0.445783,0.290909,0.487975,0.225806,6
0.54386,0.945946,0.433735,0.281818,0.813809,0.225806,5
0.192982,0.621622,0.385542,0.727273,0.472459,0.516129,7
0.157895,0.594595,0.445783,0.572727,0.767261,0.322581,6
0.157895,0.675676,0.409639,0.227273,0.402638,0.370968,6
0.578947,0,0.650602,0.309091,0.332816,0.451613,6
0.210526,0.472973,0.493976,0.090909,0.379364,0.403226,6
0.578947,0,0.650602,0.309091,0.332816,0.451613,6
0.368421,0.283784,0.554217,0.363636,0.332816,0.5,6
0.578947,0.324324,0.578313,0.354545,0.604344,0.306452,6
0.578947,0.324324,0.578313,0.354545,0.604344,0.306452,6
0.614035,0.324324,0.590361,0.345455,0.612102,0.306452,5
0.561404,0.324324,0.590361,0.354545,0.612102,0.306452,6
0.438596,0.364865,0.325301,0.254545,0.43367,0.387097,7
0.403509,0.351351,0.337349,0.309091,0.441427,0.387097,6
0.491228,0.364865,0.313253,0.127273,0.35609,0.564516,7
0.824561,0.189189,0.277108,0.3,0.363848,0.725806,8
0.298246,0.554054,0.39759,0.318182,0.643134,0.322581,6
0.491228,0.283784,0.349398,0.445455,0.542281,0.322581,6
0.45614,0.283784,0.373494,0.436364,0.542281,0.322581,5
0.298246,0.459459,0.26506,0.290909,0.43367,0.419355,6
0.280702,0.472973,0.26506,0.309091,0.519007,0.403226,5
0.385965,0.635135,0.253012,0.154545,0.480217,0.564516,7
0.078947,0.337838,0.373494,0.072727,0.487975,0.33871,6
0.035088,0.324324,0.385542,0.118182,0.43367,0.370968,7
0.280702,0.472973,0.26506,0.309091,0.519007,0.403226,5
0.298246,0.459459,0.26506,0.290909,0.43367,0.419355,6
0.350877,0.594595,0.26506,0.3,0.581071,0.387097,6
0.578947,0.689189,0.445783,0.081818,0.456943,0.548387,5
0.315789,0.554054,0.373494,0.327273,0.813809,0.322581,6
0.45614,0.310811,0.361446,0.318182,0.565555,0.322581,6
0.350877,0.472973,0.39759,0.481818,0.829325,0.258065,6
0.22807,0.554054,0.325301,0.281818,0.379364,0.387097,5
0.421053,0.472973,0.253012,0.290909,0.3173,0.725806,8
0.280702,0.459459,0.277108,0.318182,0.43367,0.419355,5
0.263158,0.405405,0.289157,0.127273,0.270753,0.612903,6
0.350877,0.459459,0.349398,0.254545,0.643134,0.290323,5
0.315789,0.351351,0.26506,0.090909,0.402638,0.451613,5
0.263158,0.405405,0.289157,0.127273,0.270753,0.612903,6
0.263158,0.445946,0.325301,0.118182,0.301784,0.516129,6
0.333333,0.364865,0.433735,0.481818,0.782777,0.209677,6
0.315789,0.540541,0.457831,0.090909,0.573313,0.387097,5
0.175439,0.472973,0.481928,0.427273,0.487975,0.354839,7
0.210526,0.581081,0.433735,0.227273,0.720714,0.16129,7
0.280702,0.486486,0.457831,0.136364,0.596587,0.322581,6
0.315789,0.567568,0.421687,0.254545,0.705198,0.177419,6
0.403509,0.635135,0.53012,0.4,0.464701,0.322581,5
0.368421,0.635135,0.518072,0.409091,0.456943,0.322581,6
0.114035,0.445946,0.493976,0.281818,0.550039,0.258065,6
0.45614,0.135135,0.26506,0.163636,0.270753,0.516129,7
0.192982,0.554054,0.566265,0.663636,0.96121,0.129032,6
0.175439,0.621622,0.518072,0.327273,0.844841,0.322581,6
0.157895,0.608108,0.542169,0.490909,0.767261,0.322581,5
0.070175,0.486486,0.421687,0.409091,0.332816,0.548387,7
0.438596,0.540541,0.349398,0.272727,0.379364,0.629032,7
0.447368,0.405405,0.746988,0.227273,0.410396,0.258065,6
0.438596,0.540541,0.349398,0.272727,0.379364,0.629032,7
0.561404,0.567568,0.457831,0.331818,0.511249,0.258065,6
0.245614,0.5,0.650602,0.418182,0.829325,0.16129,6
0.245614,0.5,0.650602,0.418182,0.829325,0.16129,6
0.491228,0.445946,0.493976,0.2,0.43367,0.241935,6
0.210526,0.527027,0.493976,0.154545,0.534523,0.387097,6
0.280702,0.459459,0.373494,0.372727,0.495733,0.419355,6
0.280702,0.432432,0.457831,0.472727,0.751746,0.354839,6
0.5,0.189189,0.554217,0.2,0.542281,0.145161,5
0.122807,0.405405,0.493976,0.345455,0.550039,0.274194,6
0.245614,0.5,0.650602,0.418182,0.829325,0.16129,6
0.140351,0.540541,0.337349,0.145455,0.402638,0.548387,7
0.315789,0.432432,0.228916,0.245455,0.3173,0.693548,7
0.175439,0.364865,0.963855,0.345455,0.402638,0.451613,6
0.438596,0.283784,0.53012,0.336364,0.43367,0.225806,6
0.368421,0.648649,0.481928,0.309091,0.464701,0.419355,6
0.54386,0.472973,0.421687,0.218182,0.542281,0.580645,5
0.438596,0.283784,0.53012,0.336364,0.43367,0.225806,6
0.368421,0.648649,0.481928,0.309091,0.464701,0.419355,6
0.333333,0.364865,0.46988,0.254545,0.503491,0.193548,6
0.438596,0.297297,0.216867,0.145455,0.169899,0.725806,7
0.438596,0.297297,0.216867,0.145455,0.169899,0.725806,7
0.403509,0.378378,0.337349,0.090909,0.371606,0.387097,7
0.210526,0.594595,0.433735,0.172727,0.410396,0.322581,7
0.421053,0.675676,0.481928,0.136364,0.43367,0.322581,6
0.403509,0.378378,0.337349,0.090909,0.371606,0.387097,7
0.210526,0.594595,0.433735,0.172727,0.410396,0.322581,7
0.350877,0.351351,0.445783,0.418182,0.806051,0.16129,6
0.473684,0.378378,0.506024,0.218182,0.759503,0.193548,6
0.333333,0.364865,0.46988,0.254545,0.503491,0.193548,6
0.491228,0.527027,0.216867,0.163636,0.301784,0.532258,7
0.438596,0.297297,0.216867,0.145455,0.169899,0.725806,7
0.157895,0.756757,0.204819,0.2,0.270753,0.451613,7
0.54386,0.472973,0.373494,0.731818,0.542281,0.33871,5
0.22807,0.432432,0.457831,0.245455,0.612102,0.274194,6
0.385965,0.513514,0.277108,0.527273,0.868115,0.209677,7
0.385965,0.513514,0.277108,0.527273,0.868115,0.209677,7
0.491228,0.432432,0.26506,0.1,0.348332,0.419355,5
0.824561,0.202703,0.26506,0.154545,0.666408,0.354839,6
0.280702,0.581081,0.144578,0.163636,0.224205,0.677419,6
0.508772,0.689189,0.421687,0.545455,0.813809,0.129032,5
0.333333,0.162162,0.373494,0.772727,0.379364,0.322581,5
0.350877,0.567568,0.26506,0.254545,0.35609,0.548387,5
0.210526,0.540541,0.337349,0.3,0.35609,0.548387,6
0.315789,0.364865,0.46988,0.454545,0.945694,0.225806,5
0.192982,0.567568,0.277108,0.272727,0.286268,0.596774,6
0.210526,0.540541,0.337349,0.3,0.35609,0.548387,6
0.508772,0.689189,0.421687,0.545455,0.813809,0.129032,5
0.473684,0.094595,0.722892,0.181818,0.487975,0.193548,5
0.333333,0.418919,0.445783,0.481818,1,0.112903,5
0.245614,0.418919,0.313253,0.281818,0.363848,0.741935,6
0.333333,0.162162,0.373494,0.772727,0.379364,0.322581,5
0.350877,0.459459,0.26506,0.345455,0.193173,0.774194,7
0.719298,0.324324,0.481928,0.1,0.472459,0.225806,5
0.105263,0.527027,0.421687,0.218182,0.379364,0.370968,6
0.350877,0.567568,0.26506,0.254545,0.35609,0.548387,5
0.298246,0.527027,0.349398,0.363636,0.992242,0.16129,6
0.350877,0.486486,0.373494,0.327273,0.844841,0.258065,6
0.192982,0.527027,0.325301,0.272727,0.363848,0.403226,5
0.192982,0.527027,0.325301,0.272727,0.363848,0.403226,5
0.298246,0.527027,0.349398,0.363636,0.992242,0.16129,6
0.350877,0.486486,0.373494,0.327273,0.844841,0.258065,6
0.22807,0.364865,0.385542,0.227273,0.43367,0.290323,6
0.315789,0.297297,0.457831,0.5,0.681924,0.16129,5
0.22807,0.364865,0.385542,0.227273,0.43367,0.290323,6
0.403509,0.378378,0.493976,0.281818,0.449185,0.403226,6
0.245614,0.418919,0.253012,0.354545,0.208689,0.758065,7
0.22807,0.378378,0.433735,0.318182,0.643134,0.387097,6
0.22807,0.378378,0.433735,0.318182,0.643134,0.387097,6
0.22807,0.378378,0.433735,0.318182,0.643134,0.387097,6
0.263158,0.513514,0.457831,0.409091,0.643134,0.403226,7
0.22807,0.378378,0.433735,0.318182,0.643134,0.387097,6
0.22807,0.378378,0.433735,0.318182,0.643134,0.387097,6
0.368421,0.675676,0.53012,0.418182,0.798293,0.225806,5
0.22807,0.364865,0.506024,0.163636,0.503491,0.177419,5
0.403509,0.635135,0.566265,0.472727,0.829325,0.209677,5
0.368421,0.675676,0.53012,0.418182,0.798293,0.225806,5
0.45614,0.135135,0.46988,0.154545,0.43367,0.290323,5
0.131579,0.459459,0.433735,0.65,0.487975,0.306452,7
0.263158,0.486486,0.228916,0.263636,0.39488,0.66129,8
0.210526,0.5,0.216867,0.2,0.379364,0.677419,7
0.350877,0.432432,0.39759,0.190909,0.495733,0.290323,5
0.140351,0.432432,0.313253,0.427273,0.270753,0.709677,8
0.131579,0.459459,0.433735,0.65,0.487975,0.306452,7
0.473684,0.054054,0.614458,0.190909,0.487975,0.193548,5
0.245614,0.5,0.228916,0.2,0.325058,0.580645,7
